run_id,timestamp,dataset,n_samples,n_features,imbalance_ratio,ir_group,method,method_family,base_classifier,ensemble_size,tuning_mode,fold,metric,value,fit_seconds,status,notes
conf_v1,2026-09-25T11:57:07.249657,mc2,161,39,2.1,low,base,baseline,decision_tree,1,default,0,auprc,0.4639,0.02,ok,
conf_v1,2026-09-25T11:57:07.255515,mc2,161,39,2.1,low,base,baseline,decision_tree,1,default,0,macro_f1,0.6726,0.02,ok,
conf_v1,2026-09-25T11:57:07.260432,mc2,161,39,2.1,low,base,baseline,decision_tree,1,default,0,balanced_accuracy,0.6818,0.02,ok,
conf_v1,2026-09-25T11:57:07.288614,mc2,161,39,2.1,low,base,baseline,decision_tree,1,default,1,auprc,0.3688,0.01,ok,
conf_v1,2026-09-25T11:57:07.293595,mc2,161,39,2.1,low,base,baseline,decision_tree,1,default,1,macro_f1,0.5833,0.01,ok,
conf_v1,2026-09-25T11:57:07.298710,mc2,161,39,2.1,low,base,baseline,decision_tree,1,default,1,balanced_accuracy,0.5818,0.01,ok,
conf_v1,2026-09-25T11:57:07.327381,mc2,161,39,2.1,low,base,baseline,decision_tree,1,default,2,auprc,0.4523,0.01,ok,
conf_v1,2026-09-25T11:57:07.332448,mc2,161,39,2.1,low,base,baseline,decision_tree,1,default,2,macro_f1,0.6811,0.01,ok,
conf_v1,2026-09-25T11:57:07.337452,mc2,161,39,2.1,low,base,baseline,decision_tree,1,default,2,balanced_accuracy,0.6864,0.01,ok,
conf_v1,2026-09-25T11:57:07.366177,mc2,161,39,2.1,low,base,baseline,decision_tree,1,default,3,auprc,0.4023,0.01,ok,
conf_v1,2026-09-25T11:57:07.371503,mc2,161,39,2.1,low,base,baseline,decision_tree,1,default,3,macro_f1,0.6102,0.01,ok,
conf_v1,2026-09-25T11:57:07.376526,mc2,161,39,2.1,low,base,baseline,decision_tree,1,default,3,balanced_accuracy,0.6136,0.01,ok,
conf_v1,2026-09-25T11:57:07.404917,mc2,161,39,2.1,low,base,baseline,decision_tree,1,default,4,auprc,0.3669,0.01,ok,
conf_v1,2026-09-25T11:57:07.410418,mc2,161,39,2.1,low,base,baseline,decision_tree,1,default,4,macro_f1,0.5362,0.01,ok,
conf_v1,2026-09-25T11:57:07.418039,mc2,161,39,2.1,low,base,baseline,decision_tree,1,default,4,balanced_accuracy,0.5411,0.01,ok,
conf_v1,2026-09-25T11:57:07.449170,mc2,161,39,2.1,low,rus,undersampling,decision_tree,1,default,0,auprc,0.5515,0.02,ok,
conf_v1,2026-09-25T11:57:07.454542,mc2,161,39,2.1,low,rus,undersampling,decision_tree,1,default,0,macro_f1,0.7462,0.02,ok,
conf_v1,2026-09-25T11:57:07.459739,mc2,161,39,2.1,low,rus,undersampling,decision_tree,1,default,0,balanced_accuracy,0.7727,0.02,ok,
conf_v1,2026-09-25T11:57:07.488029,mc2,161,39,2.1,low,rus,undersampling,decision_tree,1,default,1,auprc,0.4438,0.01,ok,
conf_v1,2026-09-25T11:57:07.493949,mc2,161,39,2.1,low,rus,undersampling,decision_tree,1,default,1,macro_f1,0.6667,0.01,ok,
conf_v1,2026-09-25T11:57:07.499102,mc2,161,39,2.1,low,rus,undersampling,decision_tree,1,default,1,balanced_accuracy,0.6909,0.01,ok,
conf_v1,2026-09-25T11:57:07.526606,mc2,161,39,2.1,low,rus,undersampling,decision_tree,1,default,2,auprc,0.4181,0.01,ok,
conf_v1,2026-09-25T11:57:07.531753,mc2,161,39,2.1,low,rus,undersampling,decision_tree,1,default,2,macro_f1,0.619,0.01,ok,
conf_v1,2026-09-25T11:57:07.536618,mc2,161,39,2.1,low,rus,undersampling,decision_tree,1,default,2,balanced_accuracy,0.6727,0.01,ok,
conf_v1,2026-09-25T11:57:07.564735,mc2,161,39,2.1,low,rus,undersampling,decision_tree,1,default,3,auprc,0.4523,0.01,ok,
conf_v1,2026-09-25T11:57:07.569893,mc2,161,39,2.1,low,rus,undersampling,decision_tree,1,default,3,macro_f1,0.6811,0.01,ok,
conf_v1,2026-09-25T11:57:07.574913,mc2,161,39,2.1,low,rus,undersampling,decision_tree,1,default,3,balanced_accuracy,0.6864,0.01,ok,
conf_v1,2026-09-25T11:57:07.602294,mc2,161,39,2.1,low,rus,undersampling,decision_tree,1,default,4,auprc,0.3295,0.01,ok,
conf_v1,2026-09-25T11:57:07.607397,mc2,161,39,2.1,low,rus,undersampling,decision_tree,1,default,4,macro_f1,0.4555,0.01,ok,
conf_v1,2026-09-25T11:57:07.612520,mc2,161,39,2.1,low,rus,undersampling,decision_tree,1,default,4,balanced_accuracy,0.4654,0.01,ok,
conf_v1,2026-09-25T11:57:07.643810,mc2,161,39,2.1,low,enn,cleaning,decision_tree,1,default,0,auprc,0.4482,0.02,ok,
conf_v1,2026-09-25T11:57:07.649531,mc2,161,39,2.1,low,enn,cleaning,decision_tree,1,default,0,macro_f1,0.6333,0.02,ok,
conf_v1,2026-09-25T11:57:07.654635,mc2,161,39,2.1,low,enn,cleaning,decision_tree,1,default,0,balanced_accuracy,0.6818,0.02,ok,
conf_v1,2026-09-25T11:57:07.683214,mc2,161,39,2.1,low,enn,cleaning,decision_tree,1,default,1,auprc,0.5263,0.01,ok,
conf_v1,2026-09-25T11:57:07.688462,mc2,161,39,2.1,low,enn,cleaning,decision_tree,1,default,1,macro_f1,0.7163,0.01,ok,
conf_v1,2026-09-25T11:57:07.693759,mc2,161,39,2.1,low,enn,cleaning,decision_tree,1,default,1,balanced_accuracy,0.7955,0.01,ok,
conf_v1,2026-09-25T11:57:07.722280,mc2,161,39,2.1,low,enn,cleaning,decision_tree,1,default,2,auprc,0.3534,0.01,ok,
conf_v1,2026-09-25T11:57:07.727569,mc2,161,39,2.1,low,enn,cleaning,decision_tree,1,default,2,macro_f1,0.5,0.01,ok,
conf_v1,2026-09-25T11:57:07.732454,mc2,161,39,2.1,low,enn,cleaning,decision_tree,1,default,2,balanced_accuracy,0.5818,0.01,ok,
conf_v1,2026-09-25T11:57:07.761065,mc2,161,39,2.1,low,enn,cleaning,decision_tree,1,default,3,auprc,0.3993,0.01,ok,
conf_v1,2026-09-25T11:57:07.766327,mc2,161,39,2.1,low,enn,cleaning,decision_tree,1,default,3,macro_f1,0.5901,0.01,ok,
conf_v1,2026-09-25T11:57:07.771580,mc2,161,39,2.1,low,enn,cleaning,decision_tree,1,default,3,balanced_accuracy,0.65,0.01,ok,
conf_v1,2026-09-25T11:57:07.800956,mc2,161,39,2.1,low,enn,cleaning,decision_tree,1,default,4,auprc,0.3477,0.02,ok,
conf_v1,2026-09-25T11:57:07.806500,mc2,161,39,2.1,low,enn,cleaning,decision_tree,1,default,4,macro_f1,0.4682,0.02,ok,
conf_v1,2026-09-25T11:57:07.811658,mc2,161,39,2.1,low,enn,cleaning,decision_tree,1,default,4,balanced_accuracy,0.5087,0.02,ok,
conf_v1,2026-09-25T11:57:07.843206,mc2,161,39,2.1,low,tomek,cleaning,decision_tree,1,default,0,auprc,0.4788,0.02,ok,
conf_v1,2026-09-25T11:57:07.848514,mc2,161,39,2.1,low,tomek,cleaning,decision_tree,1,default,0,macro_f1,0.6857,0.02,ok,
conf_v1,2026-09-25T11:57:07.853729,mc2,161,39,2.1,low,tomek,cleaning,decision_tree,1,default,0,balanced_accuracy,0.6818,0.02,ok,
conf_v1,2026-09-25T11:57:07.884770,mc2,161,39,2.1,low,tomek,cleaning,decision_tree,1,default,1,auprc,0.525,0.02,ok,
conf_v1,2026-09-25T11:57:07.889939,mc2,161,39,2.1,low,tomek,cleaning,decision_tree,1,default,1,macro_f1,0.738,0.02,ok,
conf_v1,2026-09-25T11:57:07.895504,mc2,161,39,2.1,low,tomek,cleaning,decision_tree,1,default,1,balanced_accuracy,0.7318,0.02,ok,
conf_v1,2026-09-25T11:57:07.927452,mc2,161,39,2.1,low,tomek,cleaning,decision_tree,1,default,2,auprc,0.4,0.02,ok,
conf_v1,2026-09-25T11:57:07.932655,mc2,161,39,2.1,low,tomek,cleaning,decision_tree,1,default,2,macro_f1,0.6113,0.02,ok,
conf_v1,2026-09-25T11:57:07.937988,mc2,161,39,2.1,low,tomek,cleaning,decision_tree,1,default,2,balanced_accuracy,0.6455,0.02,ok,
conf_v1,2026-09-25T11:57:07.969672,mc2,161,39,2.1,low,tomek,cleaning,decision_tree,1,default,3,auprc,0.425,0.02,ok,
conf_v1,2026-09-25T11:57:07.974944,mc2,161,39,2.1,low,tomek,cleaning,decision_tree,1,default,3,macro_f1,0.6537,0.02,ok,
conf_v1,2026-09-25T11:57:07.980235,mc2,161,39,2.1,low,tomek,cleaning,decision_tree,1,default,3,balanced_accuracy,0.6636,0.02,ok,
conf_v1,2026-09-25T11:57:08.011859,mc2,161,39,2.1,low,tomek,cleaning,decision_tree,1,default,4,auprc,0.4265,0.02,ok,
conf_v1,2026-09-25T11:57:08.017234,mc2,161,39,2.1,low,tomek,cleaning,decision_tree,1,default,4,macro_f1,0.6135,0.02,ok,
conf_v1,2026-09-25T11:57:08.022624,mc2,161,39,2.1,low,tomek,cleaning,decision_tree,1,default,4,balanced_accuracy,0.6104,0.02,ok,
conf_v1,2026-09-25T11:57:08.059069,mc2,161,39,2.1,low,smote,oversampling,decision_tree,1,default,0,auprc,0.4394,0.02,ok,
conf_v1,2026-09-25T11:57:08.064493,mc2,161,39,2.1,low,smote,oversampling,decision_tree,1,default,0,macro_f1,0.633,0.02,ok,
conf_v1,2026-09-25T11:57:08.069667,mc2,161,39,2.1,low,smote,oversampling,decision_tree,1,default,0,balanced_accuracy,0.6364,0.02,ok,
conf_v1,2026-09-25T11:57:08.102443,mc2,161,39,2.1,low,smote,oversampling,decision_tree,1,default,1,auprc,0.5134,0.02,ok,
conf_v1,2026-09-25T11:57:08.107932,mc2,161,39,2.1,low,smote,oversampling,decision_tree,1,default,1,macro_f1,0.7196,0.02,ok,
conf_v1,2026-09-25T11:57:08.113037,mc2,161,39,2.1,low,smote,oversampling,decision_tree,1,default,1,balanced_accuracy,0.7045,0.02,ok,
conf_v1,2026-09-25T11:57:08.144931,mc2,161,39,2.1,low,smote,oversampling,decision_tree,1,default,2,auprc,0.4707,0.02,ok,
conf_v1,2026-09-25T11:57:08.150136,mc2,161,39,2.1,low,smote,oversampling,decision_tree,1,default,2,macro_f1,0.6946,0.02,ok,
conf_v1,2026-09-25T11:57:08.155647,mc2,161,39,2.1,low,smote,oversampling,decision_tree,1,default,2,balanced_accuracy,0.7136,0.02,ok,
conf_v1,2026-09-25T11:57:08.187001,mc2,161,39,2.1,low,smote,oversampling,decision_tree,1,default,3,auprc,0.3473,0.02,ok,
conf_v1,2026-09-25T11:57:08.192044,mc2,161,39,2.1,low,smote,oversampling,decision_tree,1,default,3,macro_f1,0.5594,0.02,ok,
conf_v1,2026-09-25T11:57:08.197586,mc2,161,39,2.1,low,smote,oversampling,decision_tree,1,default,3,balanced_accuracy,0.5591,0.02,ok,
conf_v1,2026-09-25T11:57:08.229035,mc2,161,39,2.1,low,smote,oversampling,decision_tree,1,default,4,auprc,0.3309,0.02,ok,
conf_v1,2026-09-25T11:57:08.234199,mc2,161,39,2.1,low,smote,oversampling,decision_tree,1,default,4,macro_f1,0.4684,0.02,ok,
conf_v1,2026-09-25T11:57:08.239362,mc2,161,39,2.1,low,smote,oversampling,decision_tree,1,default,4,balanced_accuracy,0.4697,0.02,ok,
conf_v1,2026-09-25T11:57:08.265391,vertebra-column,310,6,2.1,low,base,baseline,decision_tree,1,default,0,auprc,0.4391,0.01,ok,
conf_v1,2026-09-25T11:57:08.270439,vertebra-column,310,6,2.1,low,base,baseline,decision_tree,1,default,0,macro_f1,0.6585,0.01,ok,
conf_v1,2026-09-25T11:57:08.275711,vertebra-column,310,6,2.1,low,base,baseline,decision_tree,1,default,0,balanced_accuracy,0.6548,0.01,ok,
conf_v1,2026-09-25T11:57:08.302821,vertebra-column,310,6,2.1,low,base,baseline,decision_tree,1,default,1,auprc,0.621,0.01,ok,
conf_v1,2026-09-25T11:57:08.308749,vertebra-column,310,6,2.1,low,base,baseline,decision_tree,1,default,1,macro_f1,0.8042,0.01,ok,
