dataset,method,method_family,base_classifier,ensemble_size,tuning_mode,metric,mean_value,std_value,n_folds,mean_fit_seconds
Credit_Approval_Classification,base,baseline,decision_tree,10,library_defaults,auprc,0.36937934733375627,0.02417133931586582,5,0.05806899070739742
Credit_Approval_Classification,base,baseline,decision_tree,10,library_defaults,balanced_accuracy,0.6090476190476191,0.03095924832242124,5,0.05806899070739742
Credit_Approval_Classification,base,baseline,decision_tree,10,library_defaults,macro_f1,0.6069287591725692,0.029579968907145374,5,0.05806899070739742
Credit_Approval_Classification,base,baseline,logistic_regression,10,library_defaults,auprc,0.6134067133222989,0.03216334131144574,5,0.06576743125915524
Credit_Approval_Classification,base,baseline,logistic_regression,10,library_defaults,balanced_accuracy,0.6666666666666667,0.01328328190739368,5,0.06576743125915524
Credit_Approval_Classification,base,baseline,logistic_regression,10,library_defaults,macro_f1,0.6765732753345804,0.014924412590796562,5,0.06576743125915524
Credit_Approval_Classification,cost,ensemble,decision_tree,10,library_defaults,auprc,0.39554072725266304,0.03655398459878188,5,0.15773138999938957
Credit_Approval_Classification,cost,ensemble,decision_tree,10,library_defaults,balanced_accuracy,0.6147619047619048,0.043567199898885835,5,0.15773138999938957
Credit_Approval_Classification,cost,ensemble,decision_tree,10,library_defaults,macro_f1,0.614399664948267,0.04172933578713401,5,0.15773138999938957
Credit_Approval_Classification,cost,ensemble,logistic_regression,10,library_defaults,auprc,0.5011121297704866,0.020974005174014564,5,0.11412963867187495
Credit_Approval_Classification,cost,ensemble,logistic_regression,10,library_defaults,balanced_accuracy,0.6535714285714287,0.01859583256168253,5,0.11412963867187495
Credit_Approval_Classification,cost,ensemble,logistic_regression,10,library_defaults,macro_f1,0.6524694977946467,0.017680105651525176,5,0.11412963867187495
Credit_Approval_Classification,enn,resampling,decision_tree,10,library_defaults,auprc,0.38689493698006094,0.04648622998177356,5,0.06608538627624508
Credit_Approval_Classification,enn,resampling,decision_tree,10,library_defaults,balanced_accuracy,0.6407142857142857,0.06040654970419623,5,0.06608538627624508
Credit_Approval_Classification,enn,resampling,decision_tree,10,library_defaults,macro_f1,0.6041628994717838,0.05781521264125378,5,0.06608538627624508
Credit_Approval_Classification,enn,resampling,logistic_regression,10,library_defaults,auprc,0.5929015468499118,0.012404002714384297,5,0.08191862106323236
Credit_Approval_Classification,enn,resampling,logistic_regression,10,library_defaults,balanced_accuracy,0.7176190476190476,0.021484714811268603,5,0.08191862106323236
Credit_Approval_Classification,enn,resampling,logistic_regression,10,library_defaults,macro_f1,0.6847140554481727,0.019540858176591635,5,0.08191862106323236
Credit_Approval_Classification,obag,ensemble,decision_tree,10,library_defaults,auprc,0.5440483254202881,0.02822671110490809,5,0.17886486053466794
