classifier,metric,n_datasets,method,average_rank,rank_std,critical_difference
decision_tree,auprc,20,base,8.25,1.455479664107877,3.028996417034437
decision_tree,auprc,20,rus,8.675,1.9075680301036928,3.028996417034437
decision_tree,auprc,20,enn,7.325,1.7790816673068632,3.028996417034437
decision_tree,auprc,20,tomek,7.45,1.2449899597988732,3.028996417034437
decision_tree,auprc,20,smote,6.825,1.2489469248341305,3.028996417034437
decision_tree,auprc,20,spe,2.275,1.3905224311671305,3.028996417034437
decision_tree,auprc,20,ubag,3.375,1.783513681649675,3.028996417034437
decision_tree,auprc,20,obag,2.725,1.044723584696475,3.028996417034437
decision_tree,auprc,20,sbag,2.525,1.4093204782895608,3.028996417034437
decision_tree,auprc,20,cost,5.575,1.0915344100948228,3.028996417034437
decision_tree,macro_f1,20,base,7.25,1.950033737899775,3.028996417034437
decision_tree,macro_f1,20,rus,8.625,2.1937410968480306,3.028996417034437
decision_tree,macro_f1,20,enn,6.975,2.484027925938456,3.028996417034437
decision_tree,macro_f1,20,tomek,6.15,1.7629222151989876,3.028996417034437
decision_tree,macro_f1,20,smote,5.225,2.215228395020537,3.028996417034437
decision_tree,macro_f1,20,spe,1.975,1.6260624057422957,3.028996417034437
decision_tree,macro_f1,20,ubag,3.825,2.661988769797182,3.028996417034437
decision_tree,macro_f1,20,obag,5.075,2.284242359710269,3.028996417034437
decision_tree,macro_f1,20,sbag,3.675,2.1292140877748644,3.028996417034437
decision_tree,macro_f1,20,cost,6.225,1.895111439578436,3.028996417034437
decision_tree,balanced_accuracy,20,base,7.75,1.867308786800715,3.028996417034437
decision_tree,balanced_accuracy,20,rus,5.825,3.031739990240102,3.028996417034437
decision_tree,balanced_accuracy,20,enn,4.675,2.3298689820855185,3.028996417034437
decision_tree,balanced_accuracy,20,tomek,6.65,1.7629222151989874,3.028996417034437
decision_tree,balanced_accuracy,20,smote,5.525,2.392284748057696,3.028996417034437
decision_tree,balanced_accuracy,20,spe,2.375,1.5464305249254013,3.028996417034437
decision_tree,balanced_accuracy,20,ubag,2.575,2.488261917166489,3.028996417034437
decision_tree,balanced_accuracy,20,obag,6.975,2.526048505597543,3.028996417034437
decision_tree,balanced_accuracy,20,sbag,5.675,2.318546504760438,3.028996417034437
decision_tree,balanced_accuracy,20,cost,6.975,1.9363217979620944,3.028996417034437
logistic_regression,auprc,13,base,3.0384615384615383,1.9839096340048945,3.757007666585298
logistic_regression,auprc,13,rus,7.615384615384615,1.7577666482623882,3.757007666585298
logistic_regression,auprc,13,enn,5.769230769230769,2.89118909083691,3.757007666585298
logistic_regression,auprc,13,tomek,2.9615384615384617,1.8310008472319454,3.757007666585298
logistic_regression,auprc,13,smote,5.153846153846154,1.908147174886057,3.757007666585298
logistic_regression,auprc,13,spe,4.846153846153846,2.9395621512438956,3.757007666585298
logistic_regression,auprc,13,ubag,5.6923076923076925,1.8432134703923737,3.757007666585298
logistic_regression,auprc,13,obag,5.076923076923077,2.0599975105785306,3.757007666585298
logistic_regression,auprc,13,sbag,4.846153846153846,1.993579437684632,3.757007666585298
logistic_regression,auprc,13,cost,10.0,0.0,3.757007666585298
logistic_regression,macro_f1,13,base,5.115384615384615,3.0010681858981907,3.757007666585298
logistic_regression,macro_f1,13,rus,7.923076923076923,1.9774368283857795,3.757007666585298
logistic_regression,macro_f1,13,enn,4.384615384615385,3.3301266627177397,3.757007666585298
logistic_regression,macro_f1,13,tomek,4.423076923076923,2.6602486870447053,3.757007666585298
logistic_regression,macro_f1,13,smote,4.846153846153846,1.993579437684632,3.757007666585298
logistic_regression,macro_f1,13,spe,4.3076923076923075,2.626296993379823,3.757007666585298
logistic_regression,macro_f1,13,ubag,6.846153846153846,2.230327100305911,3.757007666585298
logistic_regression,macro_f1,13,obag,4.423076923076923,2.3080127982580763,3.757007666585298
logistic_regression,macro_f1,13,sbag,4.8076923076923075,1.7974340685458345,3.757007666585298
logistic_regression,macro_f1,13,cost,7.923076923076923,2.7526211284742907,3.757007666585298
logistic_regression,balanced_accuracy,13,base,8.346153846153847,2.321858230173763,3.757007666585298
logistic_regression,balanced_accuracy,13,rus,4.6923076923076925,1.4366984945013914,3.757007666585298
logistic_regression,balanced_accuracy,13,enn,5.076923076923077,2.2898885875932358,3.757007666585298
logistic_regression,balanced_accuracy,13,tomek,7.8076923076923075,1.4366984945013912,3.757007666585298
logistic_regression,balanced_accuracy,13,smote,4.1923076923076925,1.6525039276108335,3.757007666585298
logistic_regression,balanced_accuracy,13,spe,5.384615384615385,2.7245324228345904,3.757007666585298
logistic_regression,balanced_accuracy,13,ubag,3.4615384615384617,2.7572747600781655,3.757007666585298
logistic_regression,balanced_accuracy,13,obag,3.269230769230769,2.0475125621855637,3.757007666585298
logistic_regression,balanced_accuracy,13,sbag,4.461538461538462,2.09624205883547,3.757007666585298
logistic_regression,balanced_accuracy,13,cost,8.307692307692308,2.496150883013531,3.757007666585298
