dataset,metric,n_methods,kendall_tau,p_value
mc2,auprc,10,-0.3333333333333333,0.21637345679012346
mc2,macro_f1,10,-0.022222222222222223,1.0
mc2,balanced_accuracy,10,-0.19999999999999998,0.4843127204585538
vertebra-column,auprc,10,-0.06666666666666667,0.8618005952380953
vertebra-column,macro_f1,10,-0.044946657497549475,0.8574624419592412
vertebra-column,balanced_accuracy,10,0.13483997249264842,0.590013887163346
haberman,auprc,10,-0.1111111111111111,0.7274895282186948
haberman,macro_f1,10,-0.4666666666666666,0.07255015432098766
haberman,balanced_accuracy,10,-0.4222222222222222,0.10831349206349207
vehicle,auprc,10,0.37777777777777777,0.1557418430335097
vehicle,macro_f1,10,0.5111111111111111,0.04662257495590829
vehicle,balanced_accuracy,10,0.06666666666666667,0.8618005952380953
wholesale-customers,auprc,10,0.28888888888888886,0.2912483465608466
wholesale-customers,macro_f1,10,0.1797866299901979,0.47249761400068846
wholesale-customers,balanced_accuracy,10,0.3595732599803958,0.15076277502664528
ilpd-numeric,auprc,10,0.24444444444444444,0.38071979717813054
ilpd-numeric,macro_f1,10,0.4666666666666666,0.07255015432098766
ilpd-numeric,balanced_accuracy,10,0.7333333333333333,0.002212852733686067
blood-transfusion-service-center,auprc,10,0.1111111111111111,0.7274895282186948
blood-transfusion-service-center,macro_f1,10,0.1111111111111111,0.7274895282186948
blood-transfusion-service-center,balanced_accuracy,10,0.3333333333333333,0.21637345679012346
SPECTF,auprc,10,0.5555555555555555,0.02860945767195767
SPECTF,macro_f1,10,0.6444444444444444,0.009148478835978836
SPECTF,balanced_accuracy,10,0.06666666666666667,0.8618005952380953
JapaneseVowels,auprc,10,-0.15555555555555553,0.6006536596119929
JapaneseVowels,macro_f1,10,0.06666666666666667,0.8618005952380953
JapaneseVowels,balanced_accuracy,10,0.15555555555555553,0.6006536596119929
ibm-employee-attrition,auprc,10,-0.1111111111111111,0.7274895282186948
ibm-employee-attrition,macro_f1,10,-0.1111111111111111,0.7274895282186948
ibm-employee-attrition,balanced_accuracy,10,0.28888888888888886,0.2912483465608466
kc1,auprc,10,0.022222222222222223,1.0
kc1,macro_f1,10,-0.022222222222222223,1.0
kc1,balanced_accuracy,10,0.3333333333333333,0.21637345679012346
thoracic-surgery,auprc,10,0.3333333333333333,0.21637345679012346
thoracic-surgery,macro_f1,10,0.06666666666666667,0.8618005952380953
thoracic-surgery,balanced_accuracy,10,-0.15555555555555553,0.6006536596119929
pc4,auprc,10,-0.19999999999999998,0.4843127204585538
pc4,macro_f1,10,-0.37777777777777777,0.1557418430335097
pc4,balanced_accuracy,10,0.37777777777777777,0.1557418430335097
adult,auprc,10,-0.24444444444444444,0.38071979717813054
adult,macro_f1,10,-0.022222222222222223,1.0
adult,balanced_accuracy,10,0.15555555555555553,0.6006536596119929
bank-marketing,auprc,10,-0.19999999999999998,0.4843127204585538
bank-marketing,macro_f1,10,0.5555555555555555,0.02860945767195767
bank-marketing,balanced_accuracy,10,0.15555555555555553,0.6006536596119929
vowel,auprc,10,0.18181818181818182,0.47074306940504373
vowel,macro_f1,10,0.18181818181818182,0.47074306940504373
vowel,balanced_accuracy,10,-0.13636363636363638,0.5885400360984205
law-school-admission-bianry,auprc,10,,
law-school-admission-bianry,macro_f1,10,,
law-school-admission-bianry,balanced_accuracy,10,,
Credit_Approval_Classification,auprc,10,0.06666666666666667,0.8618005952380953
Credit_Approval_Classification,macro_f1,10,0.5555555555555555,0.02860945767195767
Credit_Approval_Classification,balanced_accuracy,10,0.4666666666666666,0.07255015432098766
