dataset,metric,kendall_tau,p_value,n_methods,dt_unique_scores,lr_unique_scores
Credit_Approval_Classification,auprc,0.06666666666666667,0.8618005952380953,10,10,10
Credit_Approval_Classification,macro_f1,0.5555555555555555,0.02860945767195767,10,10,10
Credit_Approval_Classification,balanced_accuracy,0.4666666666666666,0.07255015432098766,10,10,10
JapaneseVowels,auprc,-0.15555555555555553,0.6006536596119929,10,10,10
JapaneseVowels,macro_f1,0.06666666666666667,0.8618005952380953,10,10,10
JapaneseVowels,balanced_accuracy,0.15555555555555553,0.6006536596119929,10,10,10
SPECTF,auprc,0.5555555555555555,0.02860945767195767,10,10,10
SPECTF,macro_f1,0.6444444444444444,0.009148478835978836,10,10,10
SPECTF,balanced_accuracy,0.06666666666666667,0.8618005952380953,10,10,10
adult,auprc,-0.24444444444444444,0.38071979717813054,10,10,10
adult,macro_f1,-0.022222222222222223,1.0,10,10,10
adult,balanced_accuracy,0.15555555555555553,0.6006536596119929,10,10,10
bank-marketing,auprc,-0.19999999999999998,0.4843127204585538,10,10,10
bank-marketing,macro_f1,0.5555555555555555,0.02860945767195767,10,10,10
bank-marketing,balanced_accuracy,0.15555555555555553,0.6006536596119929,10,10,10
ibm-employee-attrition,auprc,-0.1111111111111111,0.7274895282186948,10,10,10
ibm-employee-attrition,macro_f1,-0.1111111111111111,0.7274895282186948,10,10,10
ibm-employee-attrition,balanced_accuracy,0.28888888888888886,0.2912483465608466,10,10,10
ilpd-numeric,auprc,0.24444444444444444,0.38071979717813054,10,10,10
ilpd-numeric,macro_f1,0.4666666666666666,0.07255015432098766,10,10,10
ilpd-numeric,balanced_accuracy,0.7333333333333333,0.002212852733686067,10,10,10
kc1,auprc,0.022222222222222223,1.0,10,10,10
kc1,macro_f1,-0.022222222222222223,1.0,10,10,10
kc1,balanced_accuracy,0.3333333333333333,0.21637345679012346,10,10,10
mc2,auprc,-0.3333333333333333,0.21637345679012346,10,10,10
mc2,macro_f1,-0.022222222222222223,1.0,10,10,10
mc2,balanced_accuracy,-0.19999999999999998,0.4843127204585538,10,10,10
pc4,auprc,-0.19999999999999998,0.4843127204585538,10,10,10
pc4,macro_f1,-0.37777777777777777,0.1557418430335097,10,10,10
pc4,balanced_accuracy,0.37777777777777777,0.1557418430335097,10,10,10
vowel,auprc,0.18181818181818182,0.47074306940504373,10,9,9
vowel,macro_f1,0.18181818181818182,0.47074306940504373,10,9,9
vowel,balanced_accuracy,-0.13636363636363638,0.5885400360984205,10,9,9
wholesale-customers,auprc,0.28888888888888886,0.2912483465608466,10,10,10
wholesale-customers,macro_f1,0.1797866299901979,0.47249761400068846,10,10,9
wholesale-customers,balanced_accuracy,0.3595732599803958,0.15076277502664528,10,10,9
