classifier,metric,n_datasets,method_a,method_b,wilcoxon_statistic,raw_p_value,holm_p_value,significant_after_holm
decision_tree,auprc,20,base,rus,64.0,0.21221142185606556,1.0,False
decision_tree,auprc,20,base,enn,71.0,0.33413808059574546,1.0,False
decision_tree,auprc,20,base,tomek,44.0,0.07070932047868624,0.7778025252655486,False
decision_tree,auprc,20,base,smote,31.0,0.01000953783388119,0.15014306750821785,False
decision_tree,auprc,20,base,spe,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,auprc,20,base,ubag,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,auprc,20,base,obag,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,auprc,20,base,sbag,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,auprc,20,base,cost,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,auprc,20,rus,enn,42.0,0.03293821172843571,0.3952585407412285,False
decision_tree,auprc,20,rus,tomek,34.0,0.014097354120504295,0.19736295768706014,False
decision_tree,auprc,20,rus,smote,14.0,0.0011156286211977205,0.020081315181558968,True
decision_tree,auprc,20,rus,spe,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,auprc,20,rus,ubag,1.0,0.00015509577279577017,0.005932525004227498,True
decision_tree,auprc,20,rus,obag,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,auprc,20,rus,sbag,1.0,0.00015509577279577017,0.005932525004227498,True
decision_tree,auprc,20,rus,cost,5.0,0.00029256438440193296,0.005932525004227498,True
decision_tree,auprc,20,enn,tomek,90.0,0.8405336616716674,1.0,False
decision_tree,auprc,20,enn,smote,65.0,0.22732992995598733,1.0,False
decision_tree,auprc,20,enn,spe,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,auprc,20,enn,ubag,1.0,0.00015509577279577017,0.005932525004227498,True
decision_tree,auprc,20,enn,obag,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,auprc,20,enn,sbag,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,auprc,20,enn,cost,22.0,0.003306789231116912,0.052908627697870594,False
decision_tree,auprc,20,tomek,smote,53.0,0.09099512294672399,0.9099512294672398,False
decision_tree,auprc,20,tomek,spe,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,auprc,20,tomek,ubag,1.0,0.00015509577279577017,0.005932525004227498,True
decision_tree,auprc,20,tomek,obag,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,auprc,20,tomek,sbag,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,auprc,20,tomek,cost,7.0,0.00039814247498266234,0.0075647070246705845,True
decision_tree,auprc,20,smote,spe,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,auprc,20,smote,ubag,1.0,0.00015509577279577017,0.005932525004227498,True
decision_tree,auprc,20,smote,obag,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,auprc,20,smote,sbag,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,auprc,20,smote,cost,15.0,0.001284705613291876,0.02183999542596189,True
decision_tree,auprc,20,spe,ubag,40.0,0.02687559167118386,0.34938269172539016,False
decision_tree,auprc,20,spe,obag,59.0,0.1474161990774467,1.0,False
